state,state_abbr,year,cigarette_tax_per_pack
Tennessee,TN,2016,0.62
Tennessee,TN,2017,0.62
Tennessee,TN,2018,0.62
Tennessee,TN,2019,0.62
Texas,TX,1999,0.41
Texas,TX,2000,0.41
Texas,TX,2001,0.41
Texas,TX,2002,0.41
Texas,TX,2003,0.41
Texas,TX,2004,0.41
Texas,TX,2005,0.41
Texas,TX,2006,0.41
Texas,TX,2007,1.41
Texas,TX,2008,1.41
Texas,TX,2009,1.41
Texas,TX,2010,1.41
Texas,TX,2011,1.41
Texas,TX,2012,1.41
Texas,TX,2013,1.41
Texas,TX,2014,1.41
Texas,TX,2015,1.41
Texas,TX,2016,1.41
Texas,TX,2017,1.41
Texas,TX,2018,1.41
Texas,TX,2019,1.41
Utah,UT,1999,0.515
Utah,UT,2000,0.515
Utah,UT,2001,0.515
Utah,UT,2002,0.695
Utah,UT,2003,0.695
Utah,UT,2004,0.695
Utah,UT,2005,0.695
Utah,UT,2006,0.695
Utah,UT,2007,0.695
Utah,UT,2008,0.695
Utah,UT,2009,0.695
Utah,UT,2010,0.695
Utah,UT,2011,1.7
Utah,UT,2012,1.7
Utah,UT,2013,1.7
Utah,UT,2014,1.7
Utah,UT,2015,1.7
Utah,UT,2016,1.7
Utah,UT,2017,1.7
Utah,UT,2018,1.7
Utah,UT,2019,1.7
Vermont,VT,1999,0.44
Vermont,VT,2000,0.44
Vermont,VT,2001,0.44
Vermont,VT,2002,0.44
Vermont,VT,2003,0.93
Vermont,VT,2004,1.19
Vermont,VT,2005,1.19
Vermont,VT,2006,1.19
Vermont,VT,2007,1.79
Vermont,VT,2008,1.79
Vermont,VT,2009,1.99
Vermont,VT,2010,2.24
Vermont,VT,2011,2.24
Vermont,VT,2012,2.62
Vermont,VT,2013,2.62
Vermont,VT,2014,2.62
Vermont,VT,2015,2.75
Vermont,VT,2016,3.08
Vermont,VT,2017,3.08
Vermont,VT,2018,3.08
Vermont,VT,2019,3.08
Virginia,VA,1999,0.025
Virginia,VA,2000,0.025
Virginia,VA,2001,0.025
Virginia,VA,2002,0.025
Virginia,VA,2003,0.025
Virginia,VA,2004,0.025
Virginia,VA,2005,0.3
Virginia,VA,2006,0.3
Virginia,VA,2007,0.3
Virginia,VA,2008,0.3
Virginia,VA,2009,0.3
Virginia,VA,2010,0.3
Virginia,VA,2011,0.3
Virginia,VA,2012,0.3
Virginia,VA,2013,0.3
Virginia,VA,2014,0.3
Virginia,VA,2015,0.3
Virginia,VA,2016,0.3
Virginia,VA,2017,0.3
Virginia,VA,2018,0.3
Virginia,VA,2019,0.3
Washington,WA,1999,0.825
Washington,WA,2000,0.825
Washington,WA,2001,0.825
Washington,WA,2002,1.425
Washington,WA,2003,1.425
Washington,WA,2004,1.425
Washington,WA,2005,1.425
Washington,WA,2006,2.025
Washington,WA,2007,2.025
Washington,WA,2008,2.025
Washington,WA,2009,2.025
Washington,WA,2010,3.025
Washington,WA,2011,3.025
Washington,WA,2012,3.025
Washington,WA,2013,3.025
Washington,WA,2014,3.025
Washington,WA,2015,3.025
Washington,WA,2016,3.025
Washington,WA,2017,3.025
Washington,WA,2018,3.025
Washington,WA,2019,3.025
West Virginia,WV,1999,0.17
West Virginia,WV,2000,0.17
West Virginia,WV,2001,0.17
West Virginia,WV,2002,0.17
West Virginia,WV,2003,0.55
West Virginia,WV,2004,0.55
West Virginia,WV,2005,0.55
West Virginia,WV,2006,0.55
West Virginia,WV,2007,0.55
West Virginia,WV,2008,0.55
West Virginia,WV,2009,0.55
West Virginia,WV,2010,0.55
West Virginia,WV,2011,0.55
West Virginia,WV,2012,0.55
West Virginia,WV,2013,0.55
West Virginia,WV,2014,0.55
West Virginia,WV,2015,0.55
West Virginia,WV,2016,0.55
West Virginia,WV,2017,1.2
West Virginia,WV,2018,1.2
West Virginia,WV,2019,1.2
Wisconsin,WI,1999,0.59
Wisconsin,WI,2000,0.59
Wisconsin,WI,2001,0.59
Wisconsin,WI,2002,0.77
Wisconsin,WI,2003,0.77
Wisconsin,WI,2004,0.77
Wisconsin,WI,2005,0.77
Wisconsin,WI,2006,0.77
Wisconsin,WI,2007,0.77
Wisconsin,WI,2008,1.77
Wisconsin,WI,2009,1.77
Wisconsin,WI,2010,2.52
Wisconsin,WI,2011,2.52
Wisconsin,WI,2012,2.52
Wisconsin,WI,2013,2.52
Wisconsin,WI,2014,2.52
Wisconsin,WI,2015,2.52
Wisconsin,WI,2016,2.52
Wisconsin,WI,2017,2.52
Wisconsin,WI,2018,2.52
Wisconsin,WI,2019,2.52
Wyoming,WY,1999,0.12
Wyoming,WY,2000,0.12
Wyoming,WY,2001,0.12
Wyoming,WY,2002,0.12
Wyoming,WY,2003,0.12
Wyoming,WY,2004,0.6
Wyoming,WY,2005,0.6
Wyoming,WY,2006,0.6
Wyoming,WY,2007,0.6
Wyoming,WY,2008,0.6
Wyoming,WY,2009,0.6
Wyoming,WY,2010,0.6
Wyoming,WY,2011,0.6
Wyoming,WY,2012,0.6
Wyoming,WY,2013,0.6
Wyoming,WY,2014,0.6
Wyoming,WY,2015,0.6
Wyoming,WY,2016,0.6
Wyoming,WY,2017,0.6
Wyoming,WY,2018,0.6
Wyoming,WY,2019,0.6
